Geography,IsActiveMember,HasCrCard,Balance,CreditScore,Exited
France,1,1,0.0,619,1
Spain,1,0,83807.86,608,0
France,0,1,159660.8,502,1
France,0,0,0.0,699,0
Spain,1,1,125510.82,850,0
Spain,0,1,113755.78,645,1
France,1,1,0.0,822,0
Germany,0,1,115046.74,376,1
France,1,0,142051.07,501,0
France,1,1,134603.88,684,0
France,0,0,102016.72,528,0
Spain,0,1,0.0,497,0
France,0,1,0.0,476,0
France,0,0,0.0,549,0
Spain,1,1,0.0,635,0
Germany,1,0,143129.41,616,0
Germany,0,1,132602.88,653,1
Spain,1,1,0.0,549,0
Spain,0,0,0.0,587,0
France,1,1,0.0,726,0
France,1,1,0.0,732,0
Spain,0,1,0.0,636,0
Spain,0,1,0.0,510,1
France,1,0,0.0,669,0
France,1,1,0.0,846,0
France,1,0,0.0,577,0
Germany,1,1,136815.64,756,0
France,0,0,0.0,571,0
Germany,1,1,141349.43,574,0
France,1,1,59697.17,411,0
Spain,0,1,0.0,591,1
France,1,0,85311.7,533,0
Germany,0,0,110112.54,553,0
Spain,1,1,0.0,520,0
Spain,1,1,0.0,722,0
France,0,1,134264.04,475,1
Spain,1,0,145260.23,490,0
Spain,1,0,76548.6,804,0
France,1,1,0.0,850,0
Germany,1,0,70349.48,582,0
Spain,0,1,0.0,472,0
France,0,0,122522.32,465,1
France,1,1,117419.35,556,0
France,0,0,131394.56,834,1
Spain,1,1,155931.11,660,0
Germany,1,1,109421.13,776,0
Germany,1,1,112045.67,829,1
Germany,1,1,137843.8,637,1
Germany,1,0,103391.38,550,0
Germany,0,1,103769.22,776,0
Germany,0,1,116363.37,698,0
Germany,0,0,146050.97,585,0
France,0,0,0.0,788,0
Germany,0,0,125561.97,655,1
Germany,0,1,98495.72,601,1
France,1,1,125211.92,619,0
France,0,1,127864.4,656,0
Germany,0,0,75888.2,725,0
Spain,0,1,0.0,511,1
France,1,1,40685.92,614,0
Germany,0,0,136857.0,742,0
Germany,0,0,152328.88,687,0
Spain,0,0,56084.69,555,0
Spain,1,1,78707.16,684,0
Germany,1,1,109166.37,603,0
Germany,1,1,169831.46,751,0
Germany,0,1,101633.04,581,0
Germany,1,1,123180.01,735,0
Germany,1,0,150725.53,661,0
France,0,1,98373.26,675,0
Germany,0,1,133745.44,738,1
France,0,1,0.0,813,0
Spain,1,0,163607.18,657,0
Germany,1,1,157780.84,604,0
France,1,0,0.0,519,0
France,0,1,178718.19,735,0
France,1,1,0.0,664,0
France,1,1,0.0,678,0
Spain,1,0,77253.22,757,0
Germany,0,1,122189.66,416,0
France,0,0,96645.54,665,0
France,0,1,0.0,777,1
France,0,0,0.0,543,0
France,1,1,90307.62,506,0
France,0,1,0.0,493,0
Spain,1,1,0.0,652,0
Spain,0,1,121681.82,750,1
France,0,1,0.0,729,0
France,0,1,0.0,646,1
Germany,1,1,81623.67,635,0
Spain,1,1,0.0,647,1
France,0,1,118626.55,808,0
France,0,1,0.0,524,0
France,1,1,0.0,769,0
Spain,1,0,0.0,730,0
Spain,1,0,176273.95,515,0
Spain,1,0,102827.44,773,0
Germany,1,1,97086.4,814,0
Spain,0,0,0.0,710,0
France,0,0,0.0,413,0
France,1,1,0.0,665,0
France,0,0,0.0,623,0
France,0,1,82674.15,738,0
Spain,0,1,0.0,528,0
Spain,1,1,0.0,670,1
Spain,1,1,107073.27,622,1
Germany,1,1,88938.62,582,0
Germany,1,0,99806.85,785,0
Spain,0,0,150092.8,605,0
Germany,0,1,92833.89,479,1
Germany,1,0,90536.81,685,0
Germany,0,1,108055.1,538,0
France,0,0,100238.35,562,0
Spain,1,0,106190.55,675,0
Germany,1,0,154475.54,721,1
Germany,1,1,132351.29,628,0
Germany,0,1,167864.4,668,0
France,0,1,0.0,506,0
Germany,0,1,107818.63,524,1
Germany,0,1,185173.81,699,0
France,0,0,129433.34,828,0
Spain,0,0,120193.42,674,0
France,0,1,0.0,656,0
Germany,1,1,126384.42,684,0
France,0,0,0.0,625,0
France,0,1,152603.45,432,1
France,1,0,0.0,549,1
Germany,0,1,148507.24,625,1
France,0,1,0.0,828,0
France,0,1,101827.07,770,0
France,1,1,0.0,758,0
Germany,1,1,130862.43,795,0
France,1,1,122570.87,687,0
France,1,0,0.0,686,0
Germany,1,1,124828.46,789,0
Germany,1,1,144895.05,589,0
Germany,1,0,63663.93,461,0
France,1,0,133463.1,637,0
Spain,0,1,213146.2,584,1
Spain,1,0,129490.36,579,1
Germany,0,1,137452.09,756,0
France,1,1,0.0,663,0
France,1,1,125851.93,682,0
Spain,0,1,0.0,793,1
France,0,1,40915.55,691,1
Spain,1,1,113157.22,485,0
Spain,0,1,138296.94,635,0
France,0,0,106967.18,650,0
France,0,1,120681.63,735,0
France,1,0,0.0,416,0
Spain,0,1,0.0,754,0
France,0,1,0.0,535,1
Spain,0,1,0.0,716,0
France,0,1,127609.59,539,0
France,1,1,0.0,614,0
Spain,0,1,0.0,706,1
France,0,0,0.0,758,0
Spain,1,1,0.0,586,0
